lambda_air(A),lambda_vac(A),FWHM(A),Flux(10^-16^erg/s/cm2/{AA})
9895.8682,9898.582,0.2352,1.4874
9900.4062,9903.121,0.2447,0.6234
9912.7432,9915.461,0.2399,0.5726
9913.8242,9916.542,0.3762,1.4505
9914.5547,9917.273,0.3354,29.1613
9914.7773,9917.496,0.3022,32.2443
9941.665,9944.391,0.2535,23.033
9942.2129,9944.939,0.2617,12.3498
9944.5566,9947.283,0.666,0.7566
9945.2979,9948.025,0.335,16.0065
9946.5146,9949.242,0.2619,34.1659
9947.7471,9950.474,0.278,8.7475
9948.374,9951.102,0.273,5.7065
9949.6943,9952.422,0.3272,3.0182
9956.5986,9959.328,0.2721,47.6926
9960.3594,9963.09,0.3169,3.8815
9961.7217,9964.453,0.2914,19.8573
9962.1436,9964.875,0.2562,18.7629
9970.7373,9973.471,0.2471,0.9996
9971.834,9974.568,0.4702,0.9972
9972.3574,9975.091,0.2576,12.8893
9974.2598,9976.994,0.334,0.9357
9974.4873,9977.222,0.316,0.8005
9977.4072,9980.143,0.2773,0.9325
9978.5898,9981.326,0.4345,2.9411
9980.2871,9983.023,0.6427,1.803
9985.9463,9988.684,0.274,0.2058
10000.0078,10002.749,0.3751,5.8582
10000.9385,10003.68,0.2862,1.0628
10002.3164,10005.059,0.268,0.4816
10002.6953,10005.438,0.2721,0.4817
10011.3643,10014.109,0.3734,6.5382
10012.8311,10015.576,0.2502,85.4184
10013.7061,10016.451,0.2294,10.3341
10014.2979,10017.043,0.2514,9.4928
10021.2266,10023.974,0.3374,1.6888
10021.5273,10024.275,0.2891,1.6918
10025.4756,10028.224,0.3897,24.0857
10028.7871,10031.536,0.1844,0.3193
10031.0674,10033.817,0.239,0.2796
10032.7754,10035.526,0.2305,0.2019
10033.3174,10036.068,0.3508,0.3102
10035.5146,10038.266,0.1409,0.4341
10036.0605,10038.812,0.2461,0.3605
10037.7031,10040.455,0.2265,0.8543
10038.0547,10040.807,0.2481,0.7286
10043.2959,10046.049,0.2479,7.1704
10043.7754,10046.529,0.2436,7.0959
10058.8887,10061.646,0.3165,1.9454
10059.1904,10061.948,0.2446,1.9163
10060.7246,10063.483,0.2964,18.7447
10062.4521,10065.211,0.2241,0.9275
10063.6523,10066.411,0.425,0.8339
10066.7988,10069.558,0.2427,2.5873
10067.6699,10070.43,0.2505,2.4256
10069.6953,10072.456,0.2566,1.1766
10070.4971,10073.258,0.2511,3.661
10071.2578,10074.019,0.2402,3.5811
10071.7812,10074.542,0.268,1.1742
10076.2334,10078.996,0.5884,0.2903
10082.458,10085.222,0.2912,55.3395
10096.0664,10098.834,0.1876,0.7762
10103.625,10106.395,0.2868,21.7419
10122.2529,10125.028,0.3428,0.8075
10122.7119,10125.487,0.1654,1.0986
10124.0146,10126.79,0.4241,45.1588
10131.3984,10134.176,0.2789,0.365
10132.1777,10134.955,0.248,1.2482
10133.1289,10135.907,0.2348,1.0249
10136.4639,10139.242,0.104,0.4177
10138.6729,10141.452,0.273,0.2628
10143.0576,10145.838,0.3717,1.0464
10147.3984,10150.18,0.3838,0.6946
10149.0176,10151.8,0.3805,2.5094
10152.2246,10155.007,0.3963,1.2811
10152.9844,10155.767,0.2662,25.5568
10154.8604,10157.644,0.2626,1.0938
10155.0146,10157.798,0.4528,0.8706
10158.4922,10161.277,0.3727,7.5694
10161.2402,10164.025,0.2989,0.6183
10162.6982,10165.484,0.2444,0.6067
10164.3809,10167.167,0.3124,4.1542
10167.6289,10170.416,0.334,1.6583
10167.8887,10170.676,0.335,1.0936
10170.3643,10173.152,0.2292,1.3437
10171.5469,10174.335,0.2687,34.2626
10171.9668,10174.755,0.4162,37.2201
10181.0537,10183.844,0.267,11.7465
10182.5986,10185.39,0.3235,0.7768
10184.8154,10187.607,0.5575,0.7645
10185.125,10187.917,0.2743,0.9677
10189.7197,10192.513,0.321,44.3114
10190.7246,10193.518,0.6765,0.8103
10194.8271,10197.621,0.4633,0.7085
10198.8096,10201.605,0.254,0.7736
10199.917,10202.713,0.2157,0.6154
10203.0664,10205.863,0.2481,21.2981
10206.7949,10209.593,0.2406,0.7947
10208.8076,10211.606,0.257,18.8235
10211.0664,10213.865,0.2789,58.7144
10220.5693,10223.371,0.265,0.8786
10225.54,10228.343,0.243,21.8175
10226.085,10228.888,0.2492,21.1486
10230.6719,10233.476,0.265,23.2005
10271.1152,10273.93,0.3727,7.3343
10284.7002,10287.519,0.4323,8.6983
10284.9004,10287.719,0.3201,9.5205
10286.6523,10289.472,0.3064,154.4083
10292.2812,10295.102,0.258,3.2538
10292.7852,10295.606,0.2841,2.5989
10295.873,10298.695,0.2939,27.801
10296.1914,10299.013,0.3189,30.6309
10309.1318,10311.957,0.2596,9.2266
10309.9229,10312.748,0.2414,9.8955
10326.5918,10329.422,0.2516,2.5189
10328.0234,10330.854,0.2492,2.6542
10339.959,10342.793,0.8879,2.6693
10340.1885,10343.022,0.2766,3.9233
10347.2852,10350.121,0.3082,36.3103
10353.5205,10356.358,0.238,4.887
10354.4834,10357.321,0.2431,4.5601
10372.8838,10375.726,0.3246,67.0213
10396.5693,10399.418,0.2833,3.3344
10418.3877,10421.243,0.5534,0.0
